title_author,pages,genres,funny,lighthearted,adventurous,mysterious,emotional,tense,hopeful,dark,relaxing,challenging,inspiring,reflective,sad,informative,medium_pace,fast_pace,slow_pace,avg_rating,reviews,series
Book Lovers by Emily Henry,377,"['romance', 'contemporary', 'fiction']",74%,73%,9%,0%,66%,1%,47%,0%,20%,2%,18%,19%,7%,0%,65%,28%,6%,4.25,126277,0
Demon Copperhead by Barbara Kingsolver,548,"['literary', 'contemporary', 'fiction']",24%,0%,22%,0%,84%,24%,35%,69%,0%,52%,21%,51%,73%,17%,66%,8%,25%,4.52,19378,0
A Study in Drowning by Ava Reid,376,"['young adult', 'fiction', 'fantasy']",1%,0%,42%,85%,56%,46%,16%,80%,0%,18%,13%,24%,20%,1%,70%,11%,18%,4.0,10756,0
If We Were Villains by M.L. Rio,358,"['thriller', 'literary', 'fiction']",4%,0%,12%,84%,68%,62%,2%,91%,0%,21%,3%,23%,42%,1%,69%,15%,14%,4.25,63042,0
A Gentleman in Moscow by Amor Towles,462,"['historical', 'literary', 'fiction']",41%,29%,23%,12%,51%,5%,55%,2%,18%,8%,37%,68%,10%,20%,46%,3%,49%,4.28,32406,0
My Year of Rest and Relaxation by Ottessa Moshfegh,289,"['literary', 'contemporary', 'fiction']",35%,1%,1%,7%,34%,16%,3%,86%,3%,19%,1%,61%,39%,0%,41%,12%,45%,3.69,68507,0
Tom Lake by Ann Patchett,309,"['historical', 'literary', 'fiction', 'romance']",16%,23%,4%,3%,71%,0%,36%,1%,26%,2%,15%,86%,15%,1%,60%,5%,33%,4.16,11417,0
The Catcher in the Rye by J.D. Salinger,277,"['classics', 'literary', 'fiction']",31%,7%,20%,4%,50%,11%,6%,31%,3%,15%,6%,73%,38%,1%,41%,19%,39%,3.56,149962,0
The Wicked King by Holly Black,336,"['young adult', 'fiction', 'fantasy']",11%,3%,91%,46%,33%,61%,5%,54%,1%,23%,4%,3%,6%,0%,60%,33%,5%,4.25,105058,1
Poor Things by Alasdair Gray,317,"['historical', 'fiction', 'fantasy']",66%,10%,51%,47%,18%,8%,8%,54%,0%,31%,10%,39%,9%,11%,65%,19%,15%,4.06,2629,0
Bunny by Mona Awad,305,"['literary', 'contemporary', 'fiction', 'horror']",27%,0%,9%,75%,18%,52%,0%,95%,0%,27%,0%,13%,10%,0%,62%,25%,12%,3.69,49702,0
Six of Crows by Leigh Bardugo,480,"['young adult', 'fiction', 'fantasy']",40%,4%,98%,49%,43%,56%,8%,58%,1%,18%,7%,3%,9%,0%,53%,41%,4%,4.53,165774,1
Tender Is the Flesh by Agustina Bazterrica,211,"['horror', 'literary', 'fiction', 'dystopian']",0%,0%,1%,10%,23%,59%,0%,98%,0%,41%,0%,24%,36%,1%,50%,38%,11%,3.8,38380,0
Where the Crawdads Sing by Delia Owens,370,"['mystery', 'literary', 'fiction', 'historical', 'crime']",2%,2%,40%,70%,76%,24%,22%,23%,5%,14%,26%,42%,42%,10%,59%,10%,29%,4.21,170721,0
Lightlark by Alex Aster,409,"['young adult', 'romance', 'fiction', 'fantasy']",7%,6%,92%,67%,36%,43%,11%,28%,1%,20%,5%,3%,7%,0%,62%,27%,10%,3.56,9155,1
The Wishing Game by Meg Shaffer,278,"['contemporary', 'fiction', 'fantasy']",19%,39%,64%,32%,73%,2%,79%,2%,6%,5%,45%,21%,11%,0%,59%,36%,4%,4.17,10554,0
The Familiar by Leigh Bardugo,400,"['historical', 'fiction', 'fantasy']",0%,0%,54%,69%,56%,43%,21%,71%,0%,22%,7%,24%,19%,1%,74%,8%,16%,4.42,116,0
What the River Knows by Isabel Ibañez,404,"['fantasy', 'young adult', 'fiction', 'historical', 'romance']",14%,6%,97%,81%,45%,37%,7%,14%,0%,11%,5%,3%,11%,10%,67%,18%,14%,3.98,5509,1
Bookshops & Bonedust by Travis Baldree,336,"['lgbtqia+', 'fiction', 'fantasy']",53%,81%,74%,15%,33%,2%,43%,1%,42%,1%,16%,14%,2%,0%,64%,20%,15%,4.27,10630,1
Twilight by Stephenie Meyer,498,"['young adult', 'romance', 'fiction', 'fantasy']",22%,18%,49%,62%,46%,32%,6%,39%,10%,5%,1%,3%,5%,0%,61%,25%,13%,3.17,202366,1
Part of Your World by Abby Jimenez,388,"['romance', 'contemporary', 'fiction']",63%,57%,7%,0%,77%,4%,58%,1%,11%,5%,26%,19%,10%,2%,63%,33%,3%,4.32,26701,1
Starling House by Alix E. Harrow,303,"['fiction', 'fantasy']",10%,0%,51%,86%,51%,38%,19%,85%,0%,11%,4%,14%,19%,0%,71%,12%,16%,4.05,10674,0
Legendborn by Tracy Deonn,501,"['young adult', 'fiction', 'fantasy']",12%,1%,96%,63%,68%,42%,15%,34%,0%,25%,24%,19%,18%,6%,64%,29%,5%,4.45,40656,1
Days at the Morisaki Bookshop by Satoshi Yagisawa,169,"['contemporary', 'fiction']",15%,61%,4%,2%,52%,0%,54%,0%,45%,1%,32%,61%,8%,2%,41%,41%,17%,3.74,7835,1
When the Moon Hatched by Sarah A. Parker,730,"['fiction', 'fantasy']",16%,0%,90%,57%,73%,44%,14%,59%,0%,27%,8%,9%,29%,1%,64%,17%,17%,4.26,1692,1
Flawless by Elsie Silver,424,"['sports', 'romance', 'contemporary', 'fiction']",59%,76%,21%,0%,61%,7%,32%,0%,15%,3%,12%,7%,5%,0%,64%,31%,3%,4.04,24911,1
The Memory Police by Yōko Ogawa,274,"['literary', 'science fiction', 'fiction', 'dystopian']",0%,0%,4%,58%,44%,30%,2%,65%,1%,23%,2%,63%,62%,0%,42%,7%,50%,3.78,20405,0
Everything I Know About Love: A Memoir by Dolly Alderton,368,"['memoir', 'nonfiction']",77%,40%,10%,0%,70%,0%,52%,1%,9%,6%,53%,77%,12%,13%,62%,27%,9%,4.05,34225,0
Chain-Gang All-Stars by Nana Kwame Adjei-Brenyah,363,"['literary', 'lgbtqia+', 'fiction', 'dystopian']",5%,0%,23%,1%,59%,67%,5%,90%,0%,66%,5%,36%,47%,33%,63%,28%,7%,4.34,7389,0
The Fine Print by Lauren Asher,441,"['romance', 'contemporary', 'fiction']",58%,66%,10%,2%,62%,9%,33%,3%,13%,6%,15%,10%,10%,0%,64%,28%,6%,3.79,52636,1
Expiration Dates by Rebecca Serle,272,"['romance', 'contemporary', 'fiction']",18%,33%,9%,9%,76%,2%,65%,0%,2%,6%,25%,56%,17%,1%,59%,34%,6%,3.83,612,0
Scythe by Neal Shusterman,440,"['young adult', 'science fiction', 'fiction', 'dystopian']",8%,1%,74%,42%,31%,51%,8%,67%,0%,25%,8%,33%,9%,2%,60%,34%,5%,4.28,54497,1
Things We Never Got Over by Lucy Score,554,"['romance', 'contemporary', 'fiction']",60%,53%,17%,16%,76%,19%,41%,5%,10%,8%,15%,11%,11%,0%,64%,22%,13%,4.08,48577,1
Dark Matter by Blake Crouch,342,"['thriller', 'science fiction', 'fiction']",1%,0%,78%,66%,39%,73%,9%,56%,0%,24%,4%,27%,10%,5%,27%,71%,1%,4.08,56201,0
Big Swiss by Jen Beagin,325,"['lgbtqia+', 'contemporary', 'literary', 'fiction']",78%,9%,7%,9%,46%,20%,6%,66%,1%,15%,1%,39%,18%,0%,68%,18%,13%,3.8,11145,0
The Will of the Many by James Islington,630,"['fiction', 'fantasy']",7%,0%,92%,77%,38%,67%,5%,57%,0%,34%,7%,7%,12%,1%,67%,23%,9%,4.62,4030,1
The Housemaid's Secret by Freida McFadden,316,"['thriller', 'fiction']",2%,0%,16%,89%,13%,75%,2%,71%,0%,11%,0%,1%,4%,0%,26%,71%,1%,4.09,20644,1
Gideon the Ninth by Tamsyn Muir,448,"['lgbtqia+', 'science fiction', 'fiction', 'fantasy']",66%,4%,82%,76%,36%,46%,1%,84%,0%,22%,1%,2%,15%,0%,68%,18%,13%,4.29,37851,1
A Darker Shade of Magic by V.E. Schwab,400,"['fiction', 'fantasy']",17%,4%,97%,56%,15%,36%,4%,55%,1%,8%,3%,1%,2%,0%,58%,33%,7%,4.08,75751,1
On Earth We're Briefly Gorgeous by Ocean Vuong,246,"['lgbtqia+', 'contemporary', 'literary', 'fiction']",1%,0%,1%,2%,90%,12%,13%,38%,1%,32%,18%,81%,69%,6%,45%,8%,46%,4.15,59289,0
The Queen of Nothing by Holly Black,300,"['young adult', 'fiction', 'fantasy']",16%,5%,93%,36%,50%,57%,17%,49%,2%,23%,8%,4%,9%,0%,46%,51%,2%,4.27,97536,1
Emily Wilde's Map of the Otherlands by Heather Fawcett,339,"['historical', 'fiction', 'fantasy']",55%,55%,97%,44%,20%,9%,16%,10%,13%,3%,7%,3%,0%,5%,74%,18%,7%,4.42,5128,1
Small Things Like These by Claire Keegan,112,"['historical', 'literary', 'fiction']",0%,2%,0%,9%,64%,8%,35%,29%,4%,17%,22%,77%,50%,12%,46%,34%,19%,4.15,19950,0
The Inmate by Freida McFadden,388,"['thriller', 'fiction']",0%,0%,10%,88%,20%,75%,2%,74%,0%,12%,0%,3%,9%,0%,33%,63%,3%,3.87,16616,0
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones by James Clear,306,"['psychology', 'self help', 'nonfiction']",1%,6%,0%,0%,0%,0%,20%,0%,4%,11%,68%,51%,0%,93%,57%,29%,12%,4.18,44073,0
"Good Girl, Bad Blood by Holly Jackson",415,"['mystery', 'thriller', 'young adult', 'fiction']",9%,1%,56%,92%,50%,70%,8%,64%,0%,21%,3%,6%,26%,3%,41%,56%,2%,4.32,57154,1
Hell Bent by Leigh Bardugo,481,"['fantasy', 'mystery', 'horror', 'fiction', 'thriller']",13%,0%,79%,78%,34%,61%,4%,94%,0%,19%,1%,5%,11%,1%,68%,22%,9%,4.19,22335,1
Animal Farm by George Orwell,152,"['classics', 'fiction', 'dystopian']",12%,2%,7%,5%,12%,29%,1%,62%,0%,26%,6%,73%,22%,30%,31%,62%,5%,3.88,175863,0
Done and Dusted by Lyla Sage,356,"['romance', 'contemporary', 'fiction']",54%,88%,14%,0%,45%,1%,36%,0%,17%,2%,15%,7%,1%,0%,43%,54%,2%,3.94,10818,1
The Way of Kings by Brandon Sanderson,1007,"['fiction', 'fantasy']",10%,1%,96%,45%,48%,45%,23%,31%,1%,31%,33%,17%,12%,2%,54%,5%,40%,4.63,36462,1
Twisted Love by Ana Huang,360,"['romance', 'contemporary', 'fiction']",20%,13%,12%,33%,68%,45%,15%,68%,4%,10%,3%,5%,18%,0%,54%,41%,4%,3.53,69636,1
James by Percival Everett,301,"['historical', 'literary', 'fiction']",35%,0%,83%,2%,68%,59%,20%,65%,0%,49%,20%,42%,36%,14%,36%,61%,1%,4.73,188,0
A Deadly Education by Naomi Novik,320,"['fiction', 'fantasy']",38%,5%,85%,50%,13%,39%,6%,75%,0%,12%,2%,3%,2%,1%,55%,31%,12%,3.93,34369,1
The Exception to the Rule by Christina Lauren,101,"['romance', 'contemporary', 'fiction']",69%,94%,2%,2%,16%,0%,38%,0%,14%,0%,6%,1%,0%,0%,10%,87%,1%,4.24,6232,1
A Touch of Darkness by Scarlett St. Clair,409,"['romance', 'fiction', 'fantasy']",14%,16%,50%,37%,45%,25%,11%,58%,5%,10%,4%,4%,2%,0%,47%,46%,5%,3.67,47097,1
The Coworker by Freida McFadden,360,"['thriller', 'fiction']",2%,0%,9%,89%,14%,65%,1%,68%,0%,9%,0%,2%,9%,1%,37%,57%,4%,3.65,7989,0
The Unmaking of June Farrow by Adrienne Young,320,"['mystery', 'magical realism', 'fiction']",0%,2%,41%,89%,78%,28%,28%,11%,1%,13%,10%,27%,19%,0%,69%,18%,12%,4.25,5911,0
Where the Dark Stands Still by A.B. Poranek,352,"['young adult', 'fiction', 'fantasy']",19%,9%,79%,75%,74%,27%,28%,57%,2%,10%,12%,14%,32%,0%,73%,12%,13%,4.27,432,0
Carrie Soto Is Back by Taylor Jenkins Reid,369,"['literary', 'fiction']",17%,15%,22%,0%,70%,27%,45%,0%,4%,15%,78%,37%,10%,8%,53%,42%,3%,4.29,50033,0
Love and Other Words by Christina Lauren,420,"['romance', 'contemporary', 'fiction']",21%,33%,3%,3%,92%,8%,48%,3%,8%,6%,12%,27%,44%,0%,57%,29%,12%,4.24,56709,0
Jane Eyre by Charlotte Brontë,532,"['classics', 'literary', 'fiction', 'romance']",7%,5%,19%,53%,72%,20%,24%,48%,6%,22%,21%,45%,24%,1%,37%,2%,60%,4.1,108705,0
The Final Empire by Brandon Sanderson,541,"['fiction', 'fantasy']",15%,2%,97%,53%,43%,47%,28%,48%,0%,17%,21%,7%,13%,0%,66%,21%,12%,4.47,66192,1
Legendary by Stephanie Garber,451,"['young adult', 'fiction', 'fantasy']",11%,9%,94%,82%,40%,36%,14%,28%,2%,21%,6%,3%,7%,0%,62%,32%,5%,4.1,40491,1
Neon Gods by Katee Robert,367,"['romance', 'fiction', 'fantasy', 'erotica']",17%,11%,40%,29%,40%,31%,8%,76%,3%,6%,1%,2%,2%,0%,39%,56%,3%,3.67,42272,1
Foundryside by Robert Jackson Bennett,503,"['lgbtqia+', 'fiction', 'fantasy']",27%,2%,96%,58%,20%,43%,7%,51%,0%,14%,4%,5%,4%,1%,60%,32%,7%,4.19,9468,1
The Alchemist by Paulo Coelho,192,"['classics', 'literary', 'fiction', 'fantasy']",1%,16%,69%,17%,17%,1%,50%,0%,13%,10%,73%,73%,0%,7%,45%,33%,20%,3.58,110367,0
The Ritual by Shantel Tessier,606,"['contemporary', 'fiction', 'thriller', 'romance', 'erotica']",2%,0%,21%,45%,39%,69%,1%,98%,0%,25%,0%,1%,8%,0%,53%,37%,8%,3.88,13003,1
Practice Makes Perfect by Sarah Adams,335,"['romance', 'contemporary', 'fiction']",73%,91%,7%,0%,49%,0%,42%,0%,20%,1%,15%,10%,2%,0%,62%,32%,4%,4.05,13994,1
Shatter Me by Tahereh Mafi,338,"['young adult', 'romance', 'fiction', 'dystopian']",11%,5%,80%,48%,43%,50%,16%,41%,2%,18%,7%,6%,15%,1%,36%,55%,7%,3.62,86986,1
Daughter of the Moon Goddess by Sue Lynn Tan,503,"['fiction', 'fantasy']",4%,9%,96%,25%,57%,24%,31%,7%,4%,12%,25%,14%,7%,1%,59%,30%,10%,4.1,19009,1
Better Than the Movies by Lynn Painter,356,"['young adult', 'romance', 'contemporary', 'fiction']",81%,90%,6%,0%,48%,1%,38%,0%,25%,1%,12%,8%,6%,0%,54%,40%,4%,4.23,36120,1
Where's Molly by H.D. Carlton,243,"['romance', 'contemporary', 'fiction']",11%,0%,10%,25%,75%,52%,20%,97%,0%,26%,8%,10%,41%,1%,24%,73%,2%,4.12,2432,0
One Day by David Nicholls,435,"['romance', 'contemporary', 'fiction']",50%,19%,5%,0%,90%,4%,36%,6%,7%,6%,15%,46%,67%,0%,64%,15%,20%,3.76,22698,0
If He Had Been with Me by Laura Nowlin,391,"['young adult', 'romance', 'contemporary', 'fiction']",8%,8%,2%,2%,89%,18%,21%,30%,2%,11%,4%,27%,84%,0%,47%,26%,26%,3.74,21783,1
Pride and Prejudice by Jane Austen,228,"['classics', 'literary', 'fiction', 'romance']",58%,72%,7%,1%,50%,4%,31%,0%,30%,9%,15%,25%,1%,2%,43%,4%,51%,4.31,200820,0
The Ballad of Never After by Stephanie Garber,403,"['young adult', 'romance', 'fiction', 'fantasy']",18%,17%,91%,63%,72%,37%,26%,21%,3%,14%,7%,4%,27%,0%,52%,44%,2%,4.49,26862,1
It Ends with Us by Colleen Hoover,376,"['romance', 'contemporary', 'fiction']",6%,3%,1%,1%,90%,40%,26%,38%,1%,24%,21%,36%,70%,9%,56%,40%,3%,4.0,199624,1
Murder Road by Simone St. James,342,"['thriller', 'fiction', 'horror']",0%,0%,23%,95%,24%,73%,3%,85%,0%,12%,0%,6%,17%,0%,50%,44%,5%,3.9,727,0
Harry Potter and the Sorcerer's Stone by J.K. Rowling,309,"['fiction', 'fantasy', 'middle grade']",43%,52%,96%,48%,17%,10%,24%,7%,16%,6%,18%,2%,2%,0%,42%,54%,2%,4.49,382486,1
The Tainted Cup by Robert Jackson Bennett,432,"['mystery', 'lgbtqia+', 'fiction', 'fantasy']",37%,4%,86%,94%,6%,38%,4%,31%,1%,15%,2%,6%,1%,1%,68%,23%,8%,4.42,1093,1
1984 by George Orwell,304,"['classics', 'literary', 'fiction', 'dystopian']",0%,0%,8%,27%,18%,62%,1%,86%,0%,45%,3%,60%,27%,15%,60%,7%,31%,4.03,190739,0
The Guest List by Lucy Foley,313,"['mystery', 'thriller', 'contemporary', 'fiction']",1%,0%,17%,93%,24%,65%,0%,78%,0%,6%,0%,4%,11%,0%,52%,33%,13%,3.72,92560,0
The Name of the Wind by Patrick Rothfuss,661,"['fiction', 'fantasy']",23%,6%,97%,59%,31%,23%,8%,35%,3%,15%,13%,18%,12%,0%,51%,9%,39%,4.41,58707,1
Little Stranger  by Leigh Rivers,226,"['romance', 'fiction', 'erotica']",1%,0%,13%,19%,48%,64%,1%,98%,0%,23%,0%,0%,19%,0%,22%,77%,0%,3.73,357,0
Belladonna by Adalyn Grace,408,"['young adult', 'romance', 'fiction', 'fantasy']",8%,3%,52%,93%,34%,34%,9%,74%,1%,8%,2%,6%,13%,0%,71%,15%,12%,4.05,15323,1
What My Bones Know: A Memoir of Healing from Complex Trauma by Stephanie Foo,325,"['psychology', 'memoir', 'nonfiction']",10%,0%,0%,0%,89%,17%,56%,42%,0%,54%,52%,72%,49%,73%,76%,13%,9%,4.61,6163,0
Wandering Stars by Tommy Orange,336,"['historical', 'literary', 'fiction']",7%,0%,6%,3%,86%,17%,25%,54%,0%,53%,12%,77%,61%,26%,69%,4%,25%,4.21,433,0
The Lightning Thief by Rick Riordan,375,"['fiction', 'fantasy', 'middle grade']",71%,50%,98%,27%,13%,13%,16%,2%,7%,9%,14%,2%,1%,5%,30%,68%,0%,4.27,184012,1
Everyone in My Family Has Killed Someone by Benjamin Stevenson,371,"['mystery', 'crime', 'fiction']",68%,15%,35%,93%,13%,33%,1%,44%,1%,8%,0%,5%,5%,3%,61%,32%,6%,3.92,12143,1
A Dowry of Blood by S.T. Gibson,292,"['fantasy', 'fiction', 'historical', 'lgbtqia+', 'romance']",0%,0%,15%,35%,63%,51%,9%,96%,0%,14%,3%,25%,28%,0%,49%,38%,11%,4.14,18099,1
A Touch of Chaos by Scarlett St. Clair,575,"['romance', 'fiction', 'fantasy']",32%,4%,64%,16%,82%,62%,22%,78%,2%,32%,6%,4%,28%,2%,59%,35%,5%,4.1,482,1
The Thursday Murder Club by Richard Osman,377,"['mystery', 'crime', 'contemporary', 'fiction']",75%,56%,43%,84%,27%,5%,12%,5%,11%,2%,5%,10%,10%,1%,60%,26%,13%,3.86,47503,1
Little Fires Everywhere by Celeste Ng,338,"['literary', 'contemporary', 'fiction']",3%,2%,8%,47%,76%,31%,10%,18%,1%,22%,9%,61%,23%,2%,65%,15%,19%,4.08,102765,0
It Happened One Summer by Tessa Bailey,385,"['romance', 'contemporary', 'fiction']",70%,89%,15%,0%,40%,2%,31%,0%,19%,2%,10%,8%,1%,0%,55%,41%,2%,3.95,67328,1
The Frozen River by Ariel Lawhon,427,"['thriller', 'historical', 'fiction']",2%,0%,32%,62%,74%,44%,19%,28%,1%,26%,35%,31%,29%,37%,73%,15%,11%,4.51,2767,0
Daughter of No Worlds by Carissa Broadbent,520,"['romance', 'fiction', 'fantasy']",14%,1%,94%,26%,63%,46%,21%,58%,0%,24%,18%,6%,16%,0%,67%,17%,15%,4.08,12674,1
It Starts with Us by Colleen Hoover,323,"['romance', 'contemporary', 'fiction']",21%,32%,3%,0%,80%,15%,67%,6%,10%,10%,29%,26%,19%,1%,51%,40%,8%,3.71,61272,1
Ready or Not by Cara Bastone,378,"['romance', 'contemporary', 'fiction']",74%,60%,4%,0%,84%,1%,70%,0%,8%,5%,28%,29%,3%,3%,61%,28%,9%,4.27,1689,0
The Stolen Heir by Holly Black,356,"['young adult', 'fiction', 'fantasy']",13%,5%,95%,45%,35%,45%,6%,53%,1%,14%,2%,4%,12%,0%,65%,25%,9%,3.99,14235,1
The Girl on the Train by Paula Hawkins,323,"['thriller', 'literary', 'contemporary', 'fiction']",0%,0%,12%,87%,31%,71%,0%,80%,0%,11%,0%,6%,21%,0%,57%,26%,15%,3.71,120100,0
Under the Whispering Door by TJ Klune,376,"['lgbtqia+', 'fiction', 'fantasy']",47%,20%,21%,14%,90%,3%,71%,11%,6%,14%,41%,65%,40%,0%,70%,9%,20%,4.27,42326,0
Faebound by Saara El-Arifi,386,"['romance', 'fiction', 'fantasy']",12%,4%,96%,47%,43%,32%,12%,13%,1%,13%,7%,7%,8%,1%,68%,20%,11%,3.84,2679,1
Bear by Julia Phillips,304,"['literary', 'fiction']",0%,0%,16%,33%,83%,41%,8%,75%,0%,33%,0%,58%,50%,0%,30%,23%,46%,3.82,23,0
Housemates by Emma Copley Eisenberg,352,"['lgbtqia+', 'contemporary', 'literary', 'fiction']",55%,0%,44%,0%,77%,0%,11%,0%,11%,22%,22%,88%,22%,0%,55%,11%,33%,4.16,13,0
The Bee Sting by Paul Murray,645,"['literary', 'fiction']",27%,1%,9%,18%,79%,58%,5%,65%,0%,37%,1%,53%,49%,1%,60%,9%,30%,4.28,2411,0
Finale by Stephanie Garber,478,"['young adult', 'fiction', 'fantasy']",14%,11%,95%,65%,55%,38%,21%,25%,2%,19%,10%,4%,10%,0%,61%,33%,5%,4.09,33453,1
The Martian by Andy Weir,369,"['thriller', 'science fiction', 'fiction']",75%,15%,92%,2%,26%,55%,42%,4%,1%,19%,37%,6%,1%,32%,51%,41%,6%,4.35,85317,1
Slaughterhouse-Five by Kurt Vonnegut,275,"['science fiction', 'classics', 'literary', 'fiction', 'historical']",55%,5%,24%,14%,30%,11%,5%,71%,0%,30%,4%,65%,31%,9%,52%,34%,12%,4.04,73861,0
Pretty Girls by Karin Slaughter,674,"['mystery', 'thriller', 'crime', 'fiction']",0%,0%,8%,61%,48%,80%,1%,97%,0%,28%,0%,3%,44%,0%,56%,34%,9%,4.0,30364,0
Martyr! by Kaveh Akbar,331,"['lgbtqia+', 'contemporary', 'literary', 'fiction']",33%,1%,8%,13%,89%,8%,39%,48%,0%,37%,20%,82%,50%,5%,75%,12%,12%,4.48,908,0
Hooked by Emily McIntire,326,"['thriller', 'romance', 'fiction']",4%,1%,29%,43%,40%,60%,3%,97%,0%,14%,0%,2%,12%,0%,35%,62%,1%,3.7,31898,1
King of Wrath by Ana Huang,383,"['romance', 'contemporary', 'fiction']",40%,36%,11%,9%,72%,32%,25%,24%,10%,10%,5%,7%,8%,0%,66%,28%,5%,3.96,23829,1
The Paris Apartment by Lucy Foley,360,"['mystery', 'thriller', 'contemporary', 'fiction']",0%,0%,20%,94%,13%,63%,1%,73%,0%,8%,0%,2%,6%,0%,53%,28%,18%,3.54,40388,0
Divergent by Veronica Roth,487,"['young adult', 'romance', 'fiction', 'dystopian']",8%,3%,96%,28%,35%,52%,9%,26%,1%,23%,13%,8%,10%,1%,44%,51%,3%,3.92,185098,1
The Bell Jar by Sylvia Plath,294,"['classics', 'literary', 'fiction']",10%,0%,1%,4%,67%,21%,5%,86%,0%,29%,3%,64%,61%,2%,63%,12%,23%,4.08,97892,0
An Education in Malice by S.T. Gibson,368,"['fantasy', 'fiction', 'historical', 'lgbtqia+', 'romance']",0%,0%,14%,71%,45%,48%,3%,95%,0%,12%,1%,11%,8%,0%,59%,24%,15%,3.82,1884,0
The Giver by Lois Lowry,179,"['young adult', 'fiction', 'dystopian']",1%,2%,35%,42%,52%,23%,30%,35%,2%,27%,23%,63%,27%,4%,48%,42%,8%,4.06,128610,1
Powerless by Elsie Silver,396,"['sports', 'romance', 'contemporary', 'fiction']",56%,56%,14%,1%,83%,8%,48%,4%,11%,7%,19%,16%,16%,0%,68%,23%,8%,4.08,15559,1
Worst Wingman Ever by Abby Jimenez,61,"['romance', 'contemporary', 'fiction']",54%,65%,1%,0%,62%,0%,45%,0%,6%,0%,17%,12%,21%,0%,15%,82%,1%,3.96,5402,1
Vicious by V.E. Schwab,364,"['science fiction', 'fiction', 'fantasy']",7%,0%,59%,58%,18%,66%,1%,92%,0%,14%,0%,9%,6%,0%,43%,52%,4%,4.28,55144,1
The Book Thief by Markus Zusak,552,"['young adult', 'historical', 'fiction']",10%,2%,15%,5%,90%,28%,22%,60%,1%,26%,24%,45%,83%,13%,65%,9%,24%,4.46,159350,0
Jade City by Fonda Lee,510,"['fiction', 'fantasy']",3%,0%,75%,23%,43%,76%,2%,70%,0%,20%,2%,4%,15%,0%,66%,16%,16%,4.15,16667,1
